date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:30:08	85/85	---MCZ	200	added ('OK')	text/plain	etag:W/%225def7c30-56%22	https://playtictactoe.org/robots.txt		(from )
18:30:08	23845/23845	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Jul%202020%2001:30:09%20GMT	https://playtictactoe.org/	C:/My%20Web%20Sites/Tic%20Tac%20Toe/playtictactoe.org/index.html	(from )
18:30:08	1341/1341	---M--	200	added ('OK')	image/png	etag:%225def7c2f-53d%22	https://playtictactoe.org/assets/images/icon-200.png	C:/My%20Web%20Sites/Tic%20Tac%20Toe/playtictactoe.org/assets/images/icon-200.png	(from https://playtictactoe.org/)
18:30:09	155/155	---M--	200	added ('OK')	image/png	etag:%225def7c2e-9b%22	https://playtictactoe.org/assets/images/icon-16.png	C:/My%20Web%20Sites/Tic%20Tac%20Toe/playtictactoe.org/assets/images/icon-16.png	(from https://playtictactoe.org/)
18:30:09	206/206	---M--	200	added ('OK')	image/png	etag:%225def7c2f-ce%22	https://playtictactoe.org/assets/images/icon-32.png	C:/My%20Web%20Sites/Tic%20Tac%20Toe/playtictactoe.org/assets/images/icon-32.png	(from https://playtictactoe.org/)
18:30:10	708/708	---M--	200	added ('OK')	image/png	etag:%225def7c2f-2c4%22	https://playtictactoe.org/assets/images/icon-100.png	C:/My%20Web%20Sites/Tic%20Tac%20Toe/playtictactoe.org/assets/images/icon-100.png	(from https://playtictactoe.org/)
18:30:10	5504/5504	---M--	200	added ('OK')	image/png	etag:%225def7c2f-1580%22	https://playtictactoe.org/assets/images/icon-800.png	C:/My%20Web%20Sites/Tic%20Tac%20Toe/playtictactoe.org/assets/images/icon-800.png	(from https://playtictactoe.org/)
18:30:12	147/147	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2004%20Jul%202020%2001:30:12%20GMT	https://playtictactoe.org/GET	C:/My%20Web%20Sites/Tic%20Tac%20Toe/playtictactoe.org/GET	(from https://playtictactoe.org/)
18:30:15	45958/45958	---MC-	200	added ('OK')	text/javascript	date:Thu,%2004%20Jun%202020%2023:38:14%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/Tic%20Tac%20Toe/www.google-analytics.com/analytics.js	(from https://playtictactoe.org/)
18:30:17	115760/115760	---MC-	200	added ('OK')	text/javascript	date:Sat,%2004%20Jul%202020%2001:30:11%20GMT	http://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/My%20Web%20Sites/Tic%20Tac%20Toe/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://playtictactoe.org/)
